kernel,build,dtype,M,stride,align,misalign_bytes,time_s,run_id,result
saxpy,scalar,f32,512,1,aligned,0,0.000000270,0,
saxpy,scalar,f32,512,1,aligned,0,0.000000210,1,
saxpy,scalar,f32,512,1,aligned,0,0.000000190,2,
saxpy,scalar,f32,512,1,aligned,0,0.000000160,3,
saxpy,scalar,f32,512,1,aligned,0,0.000000160,4,
saxpy,scalar,f32,512,1,aligned,0,0.000000159,5,
saxpy,scalar,f32,512,1,aligned,0,0.000000170,6,
saxpy,scalar,f32,512,1,aligned,0,0.000000170,7,
saxpy,scalar,f32,512,1,aligned,0,0.000000170,8,
saxpy,scalar,f32,512,1,aligned,0,0.000000170,9,
saxpy,simd,f32,512,1,aligned,0,0.000000129,0,
saxpy,simd,f32,512,1,aligned,0,0.000000070,1,
saxpy,simd,f32,512,1,aligned,0,0.000000049,2,
saxpy,simd,f32,512,1,aligned,0,0.000000040,3,
saxpy,simd,f32,512,1,aligned,0,0.000000040,4,
saxpy,simd,f32,512,1,aligned,0,0.000000040,5,
saxpy,simd,f32,512,1,aligned,0,0.000000040,6,
saxpy,simd,f32,512,1,aligned,0,0.000000040,7,
saxpy,simd,f32,512,1,aligned,0,0.000000040,8,
saxpy,simd,f32,512,1,aligned,0,0.000000030,9,
saxpy,scalar,f32,1024,1,aligned,0,0.000000400,0,
saxpy,scalar,f32,1024,1,aligned,0,0.000000350,1,
saxpy,scalar,f32,1024,1,aligned,0,0.000000300,2,
saxpy,scalar,f32,1024,1,aligned,0,0.000000300,3,
saxpy,scalar,f32,1024,1,aligned,0,0.000000301,4,
saxpy,scalar,f32,1024,1,aligned,0,0.000000301,5,
saxpy,scalar,f32,1024,1,aligned,0,0.000000300,6,
saxpy,scalar,f32,1024,1,aligned,0,0.000000300,7,
saxpy,scalar,f32,1024,1,aligned,0,0.000000301,8,
saxpy,scalar,f32,1024,1,aligned,0,0.000000300,9,
saxpy,simd,f32,1024,1,aligned,0,0.000000170,0,
saxpy,simd,f32,1024,1,aligned,0,0.000000101,1,
saxpy,simd,f32,1024,1,aligned,0,0.000000060,2,
saxpy,simd,f32,1024,1,aligned,0,0.000000050,3,
saxpy,simd,f32,1024,1,aligned,0,0.000000061,4,
saxpy,simd,f32,1024,1,aligned,0,0.000000050,5,
saxpy,simd,f32,1024,1,aligned,0,0.000000060,6,
saxpy,simd,f32,1024,1,aligned,0,0.000000061,7,
saxpy,simd,f32,1024,1,aligned,0,0.000000060,8,
saxpy,simd,f32,1024,1,aligned,0,0.000000060,9,
saxpy,scalar,f32,30720,1,aligned,0,0.000008480,0,
saxpy,scalar,f32,30720,1,aligned,0,0.000008460,1,
saxpy,scalar,f32,30720,1,aligned,0,0.000008360,2,
saxpy,scalar,f32,30720,1,aligned,0,0.000008340,3,
saxpy,scalar,f32,30720,1,aligned,0,0.000008320,4,
saxpy,scalar,f32,30720,1,aligned,0,0.000008580,5,
