kernel,build,dtype,M,stride,align,misalign_bytes,time_s,run_id,result
saxpy,simd,f32,131072,1,aligned,0,0.000010409,0,
saxpy,simd,f32,131072,1,aligned,0,0.000010230,1,
saxpy,simd,f32,131072,1,aligned,0,0.000010180,2,
saxpy,simd,f32,131072,1,aligned,0,0.000014231,3,
saxpy,simd,f32,131072,1,aligned,0,0.000010150,4,
saxpy,simd,f32,131072,1,aligned,0,0.000010130,5,
saxpy,simd,f32,131072,1,aligned,0,0.000010170,6,
saxpy,simd,f32,131072,1,aligned,0,0.000010140,7,
saxpy,simd,f32,131072,1,aligned,0,0.000010190,8,
saxpy,simd,f32,131072,1,aligned,0,0.000010170,9,
saxpy,scalar,f32,131072,1,aligned,0,0.000037560,0,
saxpy,scalar,f32,131072,1,aligned,0,0.000037460,1,
saxpy,scalar,f32,131072,1,aligned,0,0.000037330,2,
saxpy,scalar,f32,131072,1,aligned,0,0.000037310,3,
saxpy,scalar,f32,131072,1,aligned,0,0.000037290,4,
saxpy,scalar,f32,131072,1,aligned,0,0.000037429,5,
saxpy,scalar,f32,131072,1,aligned,0,0.000037419,6,
saxpy,scalar,f32,131072,1,aligned,0,0.000037410,7,
saxpy,scalar,f32,131072,1,aligned,0,0.000037490,8,
saxpy,scalar,f32,131072,1,aligned,0,0.000037419,9,
saxpy,simd,f32,4194304,1,aligned,0,0.000710839,0,
saxpy,simd,f32,4194304,1,aligned,0,0.000552902,1,
saxpy,simd,f32,4194304,1,aligned,0,0.000579381,2,
saxpy,simd,f32,4194304,1,aligned,0,0.000594901,3,
saxpy,simd,f32,4194304,1,aligned,0,0.000600311,4,
saxpy,simd,f32,4194304,1,aligned,0,0.000605591,5,
saxpy,simd,f32,4194304,1,aligned,0,0.000597721,6,
saxpy,simd,f32,4194304,1,aligned,0,0.000621971,7,
saxpy,simd,f32,4194304,1,aligned,0,0.000622171,8,
saxpy,simd,f32,4194304,1,aligned,0,0.000605070,9,
saxpy,scalar,f32,4194304,1,aligned,0,0.001233551,0,
saxpy,scalar,f32,4194304,1,aligned,0,0.001224901,1,
saxpy,scalar,f32,4194304,1,aligned,0,0.001220280,2,
saxpy,scalar,f32,4194304,1,aligned,0,0.001228902,3,
saxpy,scalar,f32,4194304,1,aligned,0,0.001230401,4,
saxpy,scalar,f32,4194304,1,aligned,0,0.001218732,5,
saxpy,scalar,f32,4194304,1,aligned,0,0.001222141,6,
