kernel,build,dtype,M,stride,align,misalign_bytes,time_s,run_id,result
saxpy,scalar,f32,5000000,1,aligned,0,0.001477108,0,
saxpy,scalar,f32,5000000,1,aligned,0,0.001460997,1,
saxpy,scalar,f32,5000000,1,aligned,0,0.001459046,2,
saxpy,scalar,f32,5000000,1,aligned,0,0.001463577,3,
saxpy,scalar,f32,5000000,1,aligned,0,0.001469578,4,
saxpy,scalar,f32,5000000,1,aligned,0,0.001471727,5,
saxpy,scalar,f32,5000000,1,aligned,0,0.001461958,6,
saxpy,scalar,f32,5000000,1,aligned,0,0.001471138,7,
saxpy,scalar,f32,5000000,1,aligned,0,0.001456627,8,
saxpy,scalar,f32,5000000,1,aligned,0,0.001468496,9,
saxpy,scalar,f32,5000000,2,aligned,0,0.002048289,0,
saxpy,scalar,f32,5000000,2,aligned,0,0.002046279,1,
saxpy,scalar,f32,5000000,2,aligned,0,0.002034269,2,
saxpy,scalar,f32,5000000,2,aligned,0,0.002038758,3,
saxpy,scalar,f32,5000000,2,aligned,0,0.002030988,4,
saxpy,scalar,f32,5000000,2,aligned,0,0.002039709,5,
saxpy,scalar,f32,5000000,2,aligned,0,0.002051109,6,
saxpy,scalar,f32,5000000,2,aligned,0,0.002061669,7,
saxpy,scalar,f32,5000000,2,aligned,0,0.002051978,8,
saxpy,scalar,f32,5000000,2,aligned,0,0.002050329,9,
saxpy,scalar,f32,5000000,4,aligned,0,0.004038998,0,
saxpy,scalar,f32,5000000,4,aligned,0,0.004119587,1,
saxpy,scalar,f32,5000000,4,aligned,0,0.004098337,2,
saxpy,scalar,f32,5000000,4,aligned,0,0.004107957,3,
saxpy,scalar,f32,5000000,4,aligned,0,0.004107677,4,
saxpy,scalar,f32,5000000,4,aligned,0,0.004102557,5,
saxpy,scalar,f32,5000000,4,aligned,0,0.004108917,6,
saxpy,scalar,f32,5000000,4,aligned,0,0.004107807,7,
saxpy,scalar,f32,5000000,4,aligned,0,0.004125287,8,
saxpy,scalar,f32,5000000,4,aligned,0,0.004121327,9,
saxpy,scalar,f32,5000000,8,aligned,0,0.007472634,0,
saxpy,scalar,f32,5000000,8,aligned,0,0.007505454,1,
saxpy,scalar,f32,5000000,8,aligned,0,0.007502975,2,
saxpy,scalar,f32,5000000,8,aligned,0,0.007505145,3,
saxpy,scalar,f32,5000000,8,aligned,0,0.007496214,4,
saxpy,scalar,f32,5000000,8,aligned,0,0.007497545,5,
saxpy,scalar,f32,5000000,8,aligned,0,0.007505723,6,
saxpy,scalar,f32,5000000,8,aligned,0,0.007490755,7,
saxpy,scalar,f32,5000000,8,aligned,0,0.007496525,8,
saxpy,scalar,f32,5000000,8,aligned,0,0.007499695,9,
saxpy,simd,f32,5000000,1,aligned,0,0.000806898,0,
saxpy,simd,f32,5000000,1,aligned,0,0.000771889,1,
saxpy,simd,f32,5000000,1,aligned,0,0.000758158,2,
saxpy,simd,f32,5000000,1,aligned,0,0.000754219,3,
saxpy,simd,f32,5000000,1,aligned,0,0.000747859,4,
saxpy,simd,f32,5000000,1,aligned,0,0.000764319,5,
saxpy,simd,f32,5000000,1,aligned,0,0.000740259,6,
saxpy,simd,f32,5000000,1,aligned,0,0.000761769,7,
saxpy,simd,f32,5000000,1,aligned,0,0.000761759,8,
saxpy,simd,f32,5000000,1,aligned,0,0.000739078,9,
saxpy,simd,f32,5000000,2,aligned,0,0.002257116,0,
saxpy,simd,f32,5000000,2,aligned,0,0.002201306,1,
saxpy,simd,f32,5000000,2,aligned,0,0.002202736,2,
saxpy,simd,f32,5000000,2,aligned,0,0.002185166,3,
saxpy,simd,f32,5000000,2,aligned,0,0.002184178,4,
saxpy,simd,f32,5000000,2,aligned,0,0.002172776,5,
saxpy,simd,f32,5000000,2,aligned,0,0.002170967,6,
saxpy,simd,f32,5000000,2,aligned,0,0.002176996,7,
saxpy,simd,f32,5000000,2,aligned,0,0.002167976,8,
saxpy,simd,f32,5000000,2,aligned,0,0.002169766,9,
saxpy,simd,f32,5000000,4,aligned,0,0.003975629,0,
saxpy,simd,f32,5000000,4,aligned,0,0.003981720,1,
saxpy,simd,f32,5000000,4,aligned,0,0.004020249,2,
saxpy,simd,f32,5000000,4,aligned,0,0.004017780,3,
saxpy,simd,f32,5000000,4,aligned,0,0.003971369,4,
saxpy,simd,f32,5000000,4,aligned,0,0.004012628,5,
saxpy,simd,f32,5000000,4,aligned,0,0.004025178,6,
saxpy,simd,f32,5000000,4,aligned,0,0.003969379,7,
saxpy,simd,f32,5000000,4,aligned,0,0.004022308,8,
saxpy,simd,f32,5000000,4,aligned,0,0.004009278,9,
saxpy,simd,f32,5000000,8,aligned,0,0.007486805,0,
saxpy,simd,f32,5000000,8,aligned,0,0.007494584,1,
saxpy,simd,f32,5000000,8,aligned,0,0.007490666,2,
saxpy,simd,f32,5000000,8,aligned,0,0.007478285,3,
saxpy,simd,f32,5000000,8,aligned,0,0.007468745,4,
saxpy,simd,f32,5000000,8,aligned,0,0.007490155,5,
saxpy,simd,f32,5000000,8,aligned,0,0.007474305,6,
saxpy,simd,f32,5000000,8,aligned,0,0.007484255,7,
saxpy,simd,f32,5000000,8,aligned,0,0.007490224,8,
saxpy,simd,f32,5000000,8,aligned,0,0.007501045,9,
