kernel,shape,variant,threads,time_sec,gflops,cpnz
gemm,square,baseline,1,0.086132,24.932,
spmm,square,baseline,1,0.002105,10.041524,956.765432
gemm,square,simd,1,0.057294,37.482,
spmm,square,simd,1,0.001946,10.861977,884.496689
gemm,square,thread,1,0.086108,24.939,
spmm,square,thread,1,0.002067,10.226129,939.493657
gemm,square,simd_thread,1,0.065472,32.800,
spmm,square,simd_thread,1,0.001885,11.213479,856.770945
gemm,square,thread,2,0.056244,38.181,
spmm,square,thread,2,0.001952,10.828590,887.223812
gemm,square,simd_thread,2,0.038099,56.366,
spmm,square,simd_thread,2,0.001227,17.226901,557.696525
gemm,square,thread,4,0.039479,54.396,
spmm,square,thread,4,0.000881,23.992518,400.432468
gemm,square,simd_thread,4,0.031045,69.172,
spmm,square,simd_thread,4,0.000855,24.722115,388.614938
gemm,square,thread,6,0.031765,67.605,
spmm,square,thread,6,0.001079,19.589813,490.427507
gemm,square,simd_thread,6,0.023819,90.160,
spmm,square,simd_thread,6,0.000852,24.809164,387.251377
gemm,square,thread,8,0.031541,68.086,
spmm,square,thread,8,0.001126,18.772121,511.789965
gemm,square,simd_thread,8,0.024662,87.076,
spmm,square,simd_thread,8,0.000881,23.992518,400.432468
gemm,square,thread,12,0.028493,75.370,
spmm,square,thread,12,0.000860,24.578381,390.887540
gemm,square,simd_thread,12,0.021453,100.103,
spmm,square,simd_thread,12,0.001038,20.363592,471.792170
gemm,tall_skinny,baseline,1,0.091840,23.383,
spmm,tall_skinny,baseline,1,0.001784,11.848323,810.864385
gemm,tall_skinny,simd,1,0.061017,35.195,
spmm,tall_skinny,simd,1,0.001248,16.937026,567.241453
gemm,tall_skinny,thread,1,0.086357,24.868,
spmm,tall_skinny,thread,1,0.001631,12.959784,741.322765
gemm,tall_skinny,simd_thread,1,0.068009,31.577,
spmm,tall_skinny,simd_thread,1,0.001147,18.428429,521.334893
gemm,tall_skinny,thread,2,0.056197,38.214,
spmm,tall_skinny,thread,2,0.000855,24.722115,388.614938
gemm,tall_skinny,simd_thread,2,0.043254,49.648,
spmm,tall_skinny,simd_thread,2,0.000606,34.880211,275.439360
gemm,tall_skinny,thread,4,0.035872,59.865,
spmm,tall_skinny,thread,4,0.000636,33.234918,289.074971
gemm,tall_skinny,simd_thread,4,0.028881,74.355,
spmm,tall_skinny,simd_thread,4,0.000516,40.963969,234.532524
gemm,tall_skinny,thread,6,0.031669,67.810,
spmm,tall_skinny,thread,6,0.000433,48.816185,196.807331
gemm,tall_skinny,simd_thread,6,0.024564,87.422,
spmm,tall_skinny,simd_thread,6,0.000478,44.220519,217.260749
gemm,tall_skinny,thread,8,0.028828,74.492,
spmm,tall_skinny,thread,8,0.000436,48.480294,198.170892
gemm,tall_skinny,simd_thread,8,0.022639,94.856,
spmm,tall_skinny,simd_thread,8,0.000341,61.986534,154.991455
gemm,tall_skinny,thread,12,0.026822,80.065,
spmm,tall_skinny,thread,12,0.000316,66.890532,143.628445
gemm,tall_skinny,simd_thread,12,0.023308,92.135,
spmm,tall_skinny,simd_thread,12,0.000384,55.045333,174.535832
gemm,fat,baseline,1,0.084894,25.296,
spmm,fat,baseline,1,0.001492,14.167164,678.144430
gemm,fat,simd,1,0.059174,36.291,
spmm,fat,simd,1,0.000869,24.323830,394.978224
gemm,fat,thread,1,0.085293,25.178,
spmm,fat,thread,1,0.001167,18.112603,530.425301
gemm,fat,simd_thread,1,0.059909,35.845,
spmm,fat,simd_thread,1,0.000756,27.959534,343.617419
gemm,fat,thread,2,0.053759,39.947,
spmm,fat,thread,2,0.000450,46.972018,204.534178
gemm,fat,simd_thread,2,0.048435,44.337,
spmm,fat,simd_thread,2,0.000366,57.752481,166.354465
gemm,fat,thread,4,0.034981,61.390,
spmm,fat,thread,4,0.000263,80.370373,119.538864
gemm,fat,simd_thread,4,0.024295,88.392,
spmm,fat,simd_thread,4,0.000189,111.838138,85.904355
gemm,fat,thread,6,0.028671,74.902,
spmm,fat,thread,6,0.000305,69.302977,138.628721
gemm,fat,simd_thread,6,0.026352,81.493,
spmm,fat,simd_thread,6,0.000247,85.576551,112.266538
gemm,fat,thread,8,0.026380,81.405,
spmm,fat,thread,8,0.000230,91.901774,104.539691
gemm,fat,simd_thread,8,0.024365,88.137,
spmm,fat,simd_thread,8,0.000225,93.944036,102.267089
gemm,fat,thread,12,0.026267,81.756,
spmm,fat,thread,12,0.000176,120.098909,79.995590
gemm,fat,simd_thread,12,0.023951,89.661,
spmm,fat,simd_thread,12,0.002195,9.629799,997.672268
