N,density,threads,repeats,sample_id,gemm_time_s,spmm_time_s,nnz,bw_stream_GBs
64,0.01,6,3,1,0.000082,0.000081,45,27.377
64,0.01,6,3,2,0.000100,0.000091,45,27.377
64,0.01,6,3,3,0.000088,0.000213,45,27.377
64,0.01,6,3,4,0.000104,0.000115,45,27.377
64,0.01,6,3,5,0.000108,0.000093,45,27.377
64,0.01,6,3,6,0.000106,0.000108,45,27.377
64,0.01,6,3,7,0.000111,0.000086,45,27.377
64,0.01,6,3,8,0.000228,0.000077,45,27.377
64,0.01,6,3,9,0.000087,0.000090,45,27.377
64,0.01,6,3,10,0.000094,0.000129,45,27.377
64,0.01,6,3,11,0.000145,0.000254,45,27.377
64,0.01,6,3,12,0.000217,0.000091,45,27.377
64,0.01,6,3,13,0.000182,0.000150,45,27.377
64,0.01,6,3,14,0.000100,0.000077,45,27.377
64,0.01,6,3,15,0.000075,0.000060,45,27.377
64,0.01,6,3,16,0.000207,0.000095,45,27.377
64,0.01,6,3,17,0.000086,0.000113,45,27.377
64,0.01,6,3,18,0.000074,0.000077,45,27.377
64,0.01,6,3,19,0.000091,0.000083,45,27.377
64,0.01,6,3,20,0.000180,0.000051,45,27.377
64,0.01,6,3,21,0.000113,0.000084,45,27.377
64,0.01,6,3,22,0.000077,0.000083,45,27.377
64,0.01,6,3,23,0.000190,0.000133,45,27.377
64,0.01,6,3,24,0.000108,0.000069,45,27.377
64,0.01,6,3,25,0.000407,0.000200,45,27.377
128,0.01,6,3,1,0.000119,0.000089,162,27.377
128,0.01,6,3,2,0.000237,0.000080,162,27.377
128,0.01,6,3,3,0.000106,0.000111,162,27.377
128,0.01,6,3,4,0.000119,0.000123,162,27.377
128,0.01,6,3,5,0.000259,0.000081,162,27.377
128,0.01,6,3,6,0.000117,0.000073,162,27.377
128,0.01,6,3,7,0.000117,0.000072,162,27.377
128,0.01,6,3,8,0.000208,0.000192,162,27.377
128,0.01,6,3,9,0.000120,0.000069,162,27.377
128,0.01,6,3,10,0.000040,0.000001,162,27.377
128,0.01,6,3,11,0.000098,0.000001,162,27.377
128,0.01,6,3,12,0.000044,0.000002,162,27.377
128,0.01,6,3,13,0.000044,0.000001,162,27.377
128,0.01,6,3,14,0.000044,0.000001,162,27.377
128,0.01,6,3,15,0.000036,0.000001,162,27.377
128,0.01,6,3,16,0.000048,0.000006,162,27.377
128,0.01,6,3,17,0.000133,0.000001,162,27.377
128,0.01,6,3,18,0.000044,0.000001,162,27.377
128,0.01,6,3,19,0.000106,0.000008,162,27.377
128,0.01,6,3,20,0.000035,0.000001,162,27.377
