N,density,threads,repeats,SAMPLES,bw_stream_GBs,gemm_gflops_mean,gemm_gflops_p05,gemm_gflops_p95,gemm_bw_mean,gemm_bw_p05,gemm_bw_p95,spmm_gflops_mean,spmm_gflops_p05,spmm_gflops_p95,spmm_bw_mean,spmm_bw_p05,spmm_bw_p95
64,0.01,6,3,25,27.377,4.677918,2.299510,6.990510,0.584740,0.287439,0.873813,0.061389,0.027042,0.096000,0.527689,0.232451,0.825200
128,0.01,6,3,25,27.377,64.897096,17.697500,119.837000,4.056071,1.106090,7.489830,20.142413,0.337171,41.472000,96.119408,1.608980,197.904000
192,0.01,6,3,25,27.377,94.883784,55.951700,114.159000,3.953495,2.331320,4.756650,55.934946,28.416000,71.040000,175.319616,89.065600,222.664000
256,0.01,6,3,25,27.377,91.269016,66.313100,106.861000,2.852159,2.072280,3.339410,58.577207,2.548360,84.096000,137.862907,5.997640,197.922000
320,0.01,6,3,25,27.377,96.079808,59.362300,110.516000,2.401996,1.484060,2.762900,77.423804,22.570700,96.731400,141.472288,41.242100,176.752000
384,0.01,6,3,25,27.377,88.906732,76.208800,94.371800,1.852224,1.587680,1.966080,6.613770,4.083250,9.253160,10.268438,6.339590,14.366300
512,0.01,6,3,25,27.377,98.851020,91.741400,102.888000,1.544547,1.433460,1.607630,8.684741,7.137560,11.432500,10.412760,8.557730,13.707200
768,0.01,6,3,25,27.377,125.999640,115.543000,144.886000,1.312496,1.203570,1.509230,15.370046,10.052900,36.304300,12.211814,7.987210,28.844500
1024,0.01,6,3,25,27.377,119.435064,108.982000,131.481000,0.933087,0.851419,1.027200,21.087084,19.517500,23.459900,12.635329,11.694800,14.057100
1536,0.01,6,3,25,27.377,129.806960,124.186000,136.408000,0.676078,0.646803,0.710457,36.391460,33.546900,38.600700,14.506856,13.372900,15.387500
1792,0.01,6,3,25,27.377,133.801800,128.296000,139.488000,0.597329,0.572750,0.622715,42.174284,37.434600,44.880300,14.328304,12.718000,15.247700
2048,0.01,6,3,25,27.377,149.548680,133.474000,160.862000,0.584175,0.521384,0.628366,41.140040,30.936000,44.228700,12.250039,9.211630,13.169700
3072,0.01,6,3,25,27.377,57.947980,56.254800,60.222600,0.150906,0.146497,0.156830,22.374612,20.530400,24.455400,4.420341,4.055990,4.831430
4096,0.01,6,3,25,27.377,55.958220,53.814900,57.393600,0.109293,0.105107,0.112097,21.217008,19.010000,22.124700,3.149590,2.821970,3.284330
