filter,target_fpr,param_bits,n_inserted,bytes,bpe,neg_queries,fp_count,achieved_fpr,build_ms
BlockedBloom,0.050000,-1,1000000,779456,6.235648,1000000,52659,0.052659,12.649
XOR,0.050000,8,1000000,2600064,20.800512,1000000,3887,0.003887,112.446
Cuckoo,0.050000,8,1000000,8388608,67.108864,1000000,14793,0.014793,20.149
Quotient,0.050000,8,999014,12582912,100.762648,1000000,2104,0.002104,37.238
BlockedBloom,0.010000,-1,1000000,1198144,9.585152,1000000,13175,0.013175,13.217
XOR,0.010000,12,1000000,2600064,20.800512,1000000,204,0.000204,137.174
Cuckoo,0.010000,12,1000000,8388608,67.108864,1000000,904,0.000904,22.956
Quotient,0.010000,12,999935,12582912,100.669840,1000000,137,0.000137,48.094
BlockedBloom,0.001000,-1,1000000,1797248,14.377984,1000000,3221,0.003221,16.200
XOR,0.001000,16,1000000,2600064,20.800512,1000000,15,0.000015,128.107
Cuckoo,0.001000,16,1000000,8388608,67.108864,1000000,53,0.000053,27.377
Quotient,0.001000,16,999996,12582912,100.663699,1000000,7,0.000007,50.439
