filter,param_bits,load,capacity_slots,insert_attempts,inserted,insert_mops,insert_fail_rate,cuckoo_total_kicks,cuckoo_stash_inserts,cuckoo_avg_probe,delete_mops,qf_cluster_p50,qf_cluster_p95,qf_cluster_p99,qf_cluster_max
Cuckoo,8,0.40,2097152,838860,838379,37.694293,0.000573,251921,16,4.549596,37.322195,,,,
Cuckoo,8,0.45,2097152,943718,942107,51.335075,0.001707,823653,16,7.036094,30.468854,,,,
Cuckoo,8,0.50,2097152,1000000,997254,48.617997,0.002746,1398470,16,9.242199,35.689772,,,,
Cuckoo,8,0.55,2097152,1000000,997254,44.176236,0.002746,1398470,16,9.242199,48.406844,,,,
Cuckoo,8,0.60,2097152,1000000,997254,48.155029,0.002746,1398470,16,9.242199,34.084214,,,,
Cuckoo,8,0.65,2097152,1000000,997254,43.726051,0.002746,1398470,16,9.242199,30.973665,,,,
Cuckoo,8,0.70,2097152,1000000,997254,47.935890,0.002746,1398470,16,9.242199,28.803639,,,,
Cuckoo,8,0.75,2097152,1000000,997254,48.263350,0.002746,1398470,16,9.242199,28.818582,,,,
Cuckoo,8,0.80,2097152,1000000,997254,43.320882,0.002746,1398470,16,9.242199,22.170185,,,,
Cuckoo,8,0.85,2097152,1000000,997254,43.577952,0.002746,1398470,16,9.242199,31.437095,,,,
Cuckoo,8,0.90,2097152,1000000,997254,49.924806,0.002746,1398470,16,9.242199,30.743513,,,,
Cuckoo,8,0.95,2097152,1000000,997254,51.116523,0.002746,1398470,16,9.242199,34.702556,,,,
Quotient,8,0.40,2097152,838860,188381,34.630922,0.000000,,,,17.051891,1,3,5,33
Quotient,8,0.45,2097152,943718,243595,28.093943,0.000000,,,,14.932279,1,3,6,34
Quotient,8,0.50,2097152,1000000,277153,26.792029,0.000000,,,,11.930032,1,4,7,37
Quotient,8,0.55,2097152,1000000,277153,20.384672,0.000000,,,,10.054439,1,4,7,37
Quotient,8,0.60,2097152,1000000,277153,20.346178,0.000000,,,,10.198386,1,4,7,37
Quotient,8,0.65,2097152,1000000,277153,21.867888,0.000000,,,,10.150484,1,4,7,37
Quotient,8,0.70,2097152,1000000,277153,24.884467,0.000000,,,,15.651259,1,4,7,37
Quotient,8,0.75,2097152,1000000,277153,34.771855,0.000000,,,,15.921060,1,4,7,37
Quotient,8,0.80,2097152,1000000,277153,32.049922,0.000000,,,,8.817526,1,4,7,37
Quotient,8,0.85,2097152,1000000,277153,27.864898,0.000000,,,,14.500830,1,4,7,37
Quotient,8,0.90,2097152,1000000,277153,26.146488,0.000000,,,,10.736734,1,4,7,37
Quotient,8,0.95,2097152,1000000,277153,38.617571,0.000000,,,,13.321462,1,4,7,37
Cuckoo,12,0.40,2097152,838860,838000,43.464568,0.001025,445402,16,5.527435,36.214473,,,,
Cuckoo,12,0.45,2097152,943718,940619,41.308377,0.003284,1578694,16,10.289429,46.681758,,,,
Cuckoo,12,0.50,2097152,1000000,994598,42.932090,0.005402,2739851,16,14.658630,36.920227,,,,
Cuckoo,12,0.55,2097152,1000000,994598,42.620508,0.005402,2739851,16,14.658630,39.734684,,,,
Cuckoo,12,0.60,2097152,1000000,994598,38.425348,0.005402,2739851,16,14.658630,33.023487,,,,
Cuckoo,12,0.65,2097152,1000000,994598,40.753277,0.005402,2739851,16,14.658630,28.253739,,,,
Cuckoo,12,0.70,2097152,1000000,994598,37.495140,0.005402,2739851,16,14.658630,32.808046,,,,
Cuckoo,12,0.75,2097152,1000000,994598,35.424018,0.005402,2739851,16,14.658630,39.275106,,,,
Cuckoo,12,0.80,2097152,1000000,994598,39.991188,0.005402,2739851,16,14.658630,26.337863,,,,
Cuckoo,12,0.85,2097152,1000000,994598,37.966828,0.005402,2739851,16,14.658630,36.363205,,,,
Cuckoo,12,0.90,2097152,1000000,994598,35.159728,0.005402,2739851,16,14.658630,25.333131,,,,
Cuckoo,12,0.95,2097152,1000000,994598,39.797490,0.005402,2739851,16,14.658630,34.437068,,,,
Quotient,12,0.40,2097152,838860,189109,34.324642,0.000000,,,,17.893117,1,3,5,33
Quotient,12,0.45,2097152,943718,244620,37.079022,0.000000,,,,15.604514,1,3,6,34
