impl,workload,nkeys,threads,repeat,duration_ms,prefill,ops_per_sec,speedup_vs_1t,raw_output
baseline,lookup,100000,1,1,2000,1,12258064.500,1.000,"lookup,100000,1,2000,1,1048576,24516129,12258064.500"
baseline,lookup,100000,2,1,2000,1,4407902.000,0.360,"lookup,100000,2,2000,1,1048576,8815804,4407902.000"
baseline,lookup,100000,4,1,2000,1,6442766.500,0.526,"lookup,100000,4,2000,1,1048576,12885533,6442766.500"
baseline,lookup,100000,8,1,2000,1,4837414.000,0.395,"lookup,100000,8,2000,1,1048576,9674828,4837414.000"
baseline,lookup,100000,12,1,2000,1,3916239.000,0.319,"lookup,100000,12,2000,1,1048576,7832478,3916239.000"
baseline,lookup,100000,1,2,2000,1,11598746.000,1.000,"lookup,100000,1,2000,1,1048576,23197492,11598746.000"
baseline,lookup,100000,2,2,2000,1,5063186.000,0.437,"lookup,100000,2,2000,1,1048576,10126372,5063186.000"
baseline,lookup,100000,4,2,2000,1,4517322.000,0.389,"lookup,100000,4,2000,1,1048576,9034644,4517322.000"
baseline,lookup,100000,8,2,2000,1,4362919.000,0.376,"lookup,100000,8,2000,1,1048576,8725838,4362919.000"
baseline,lookup,100000,12,2,2000,1,4409535.000,0.380,"lookup,100000,12,2000,1,1048576,8819070,4409535.000"
baseline,lookup,100000,1,3,2000,1,13498710.500,1.000,"lookup,100000,1,2000,1,1048576,26997421,13498710.500"
baseline,lookup,100000,2,3,2000,1,5616157.000,0.416,"lookup,100000,2,2000,1,1048576,11232314,5616157.000"
baseline,lookup,100000,4,3,2000,1,5761918.000,0.427,"lookup,100000,4,2000,1,1048576,11523836,5761918.000"
baseline,lookup,100000,8,3,2000,1,4842545.500,0.359,"lookup,100000,8,2000,1,1048576,9685091,4842545.500"
baseline,lookup,100000,12,3,2000,1,4547911.000,0.337,"lookup,100000,12,2000,1,1048576,9095822,4547911.000"
baseline,insert,100000,1,1,2000,0,14163842.000,1.000,"insert,100000,1,2000,0,1048576,28327684,14163842.000"
baseline,insert,100000,2,1,2000,0,5140455.000,0.363,"insert,100000,2,2000,0,1048576,10280910,5140455.000"
baseline,insert,100000,4,1,2000,0,5453318.500,0.385,"insert,100000,4,2000,0,1048576,10906637,5453318.500"
baseline,insert,100000,8,1,2000,0,4536450.000,0.320,"insert,100000,8,2000,0,1048576,9072900,4536450.000"
baseline,insert,100000,12,1,2000,0,3905542.500,0.276,"insert,100000,12,2000,0,1048576,7811085,3905542.500"
baseline,insert,100000,1,2,2000,0,13310981.500,1.000,"insert,100000,1,2000,0,1048576,26621963,13310981.500"
baseline,insert,100000,2,2,2000,0,4977307.500,0.374,"insert,100000,2,2000,0,1048576,9954615,4977307.500"
baseline,insert,100000,4,2,2000,0,4631761.500,0.348,"insert,100000,4,2000,0,1048576,9263523,4631761.500"
baseline,insert,100000,8,2,2000,0,4128499.000,0.310,"insert,100000,8,2000,0,1048576,8256998,4128499.000"
baseline,insert,100000,12,2,2000,0,4204330.000,0.316,"insert,100000,12,2000,0,1048576,8408660,4204330.000"
baseline,insert,100000,1,3,2000,0,13714621.000,1.000,"insert,100000,1,2000,0,1048576,27429242,13714621.000"
baseline,insert,100000,2,3,2000,0,5227910.000,0.381,"insert,100000,2,2000,0,1048576,10455820,5227910.000"
baseline,insert,100000,4,3,2000,0,5900408.000,0.430,"insert,100000,4,2000,0,1048576,11800816,5900408.000"
baseline,insert,100000,8,3,2000,0,4904173.500,0.358,"insert,100000,8,2000,0,1048576,9808347,4904173.500"
baseline,insert,100000,12,3,2000,0,4508480.500,0.329,"insert,100000,12,2000,0,1048576,9016961,4508480.500"
baseline,mixed,100000,1,1,2000,1,15239520.500,1.000,"mixed,100000,1,2000,1,1048576,30479041,15239520.500"
baseline,mixed,100000,2,1,2000,1,5698393.000,0.374,"mixed,100000,2,2000,1,1048576,11396786,5698393.000"
baseline,mixed,100000,4,1,2000,1,6246079.500,0.410,"mixed,100000,4,2000,1,1048576,12492159,6246079.500"
baseline,mixed,100000,8,1,2000,1,5429161.000,0.356,"mixed,100000,8,2000,1,1048576,10858322,5429161.000"
baseline,mixed,100000,12,1,2000,1,4908575.000,0.322,"mixed,100000,12,2000,1,1048576,9817150,4908575.000"
baseline,mixed,100000,1,2,2000,1,14601060.500,1.000,"mixed,100000,1,2000,1,1048576,29202121,14601060.500"
baseline,mixed,100000,2,2,2000,1,4994637.500,0.342,"mixed,100000,2,2000,1,1048576,9989275,4994637.500"
baseline,mixed,100000,4,2,2000,1,6235721.000,0.427,"mixed,100000,4,2000,1,1048576,12471442,6235721.000"
baseline,mixed,100000,8,2,2000,1,5336729.000,0.366,"mixed,100000,8,2000,1,1048576,10673458,5336729.000"
baseline,mixed,100000,12,2,2000,1,4741498.500,0.325,"mixed,100000,12,2000,1,1048576,9482997,4741498.500"
baseline,mixed,100000,1,3,2000,1,14774104.000,1.000,"mixed,100000,1,2000,1,1048576,29548208,14774104.000"
baseline,mixed,100000,2,3,2000,1,5479492.000,0.371,"mixed,100000,2,2000,1,1048576,10958984,5479492.000"
baseline,mixed,100000,4,3,2000,1,5769178.500,0.390,"mixed,100000,4,2000,1,1048576,11538357,5769178.500"
baseline,mixed,100000,8,3,2000,1,5194802.000,0.352,"mixed,100000,8,2000,1,1048576,10389604,5194802.000"
baseline,mixed,100000,12,3,2000,1,4827778.000,0.327,"mixed,100000,12,2000,1,1048576,9655556,4827778.000"
fine,lookup,100000,1,1,2000,1,8840712.500,1.000,"lookup,100000,1,2000,1,1048576,17681425,8840712.500"
fine,lookup,100000,2,1,2000,1,16285435.500,1.842,"lookup,100000,2,2000,1,1048576,32570871,16285435.500"
fine,lookup,100000,4,1,2000,1,37322876.500,4.222,"lookup,100000,4,2000,1,1048576,74645753,37322876.500"
fine,lookup,100000,8,1,2000,1,72388195.000,8.188,"lookup,100000,8,2000,1,1048576,144776390,72388195.000"
fine,lookup,100000,12,1,2000,1,100923626.000,11.416,"lookup,100000,12,2000,1,1048576,201847252,100923626.000"
fine,lookup,100000,1,2,2000,1,8665604.000,1.000,"lookup,100000,1,2000,1,1048576,17331208,8665604.000"
fine,lookup,100000,2,2,2000,1,15242784.000,1.759,"lookup,100000,2,2000,1,1048576,30485568,15242784.000"
fine,lookup,100000,4,2,2000,1,37041440.500,4.275,"lookup,100000,4,2000,1,1048576,74082881,37041440.500"
fine,lookup,100000,8,2,2000,1,70970910.000,8.190,"lookup,100000,8,2000,1,1048576,141941820,70970910.000"
fine,lookup,100000,12,2,2000,1,96691637.000,11.158,"lookup,100000,12,2000,1,1048576,193383274,96691637.000"
fine,lookup,100000,1,3,2000,1,6890379.000,1.000,"lookup,100000,1,2000,1,1048576,13780758,6890379.000"
fine,lookup,100000,2,3,2000,1,11041921.500,1.603,"lookup,100000,2,2000,1,1048576,22083843,11041921.500"
fine,lookup,100000,4,3,2000,1,33799133.500,4.905,"lookup,100000,4,2000,1,1048576,67598267,33799133.500"
fine,lookup,100000,8,3,2000,1,66174592.500,9.604,"lookup,100000,8,2000,1,1048576,132349185,66174592.500"
fine,lookup,100000,12,3,2000,1,91179545.000,13.233,"lookup,100000,12,2000,1,1048576,182359090,91179545.000"
fine,insert,100000,1,1,2000,0,7940452.000,1.000,"insert,100000,1,2000,0,1048576,15880904,7940452.000"
fine,insert,100000,2,1,2000,0,14295485.500,1.800,"insert,100000,2,2000,0,1048576,28590971,14295485.500"
fine,insert,100000,4,1,2000,0,29594670.500,3.727,"insert,100000,4,2000,0,1048576,59189341,29594670.500"
fine,insert,100000,8,1,2000,0,65717727.000,8.276,"insert,100000,8,2000,0,1048576,131435454,65717727.000"
fine,insert,100000,12,1,2000,0,83955736.500,10.573,"insert,100000,12,2000,0,1048576,167911473,83955736.500"
fine,insert,100000,1,2,2000,0,7272609.500,1.000,"insert,100000,1,2000,0,1048576,14545219,7272609.500"
fine,insert,100000,2,2,2000,0,13296574.500,1.828,"insert,100000,2,2000,0,1048576,26593149,13296574.500"
fine,insert,100000,4,2,2000,0,30204211.000,4.153,"insert,100000,4,2000,0,1048576,60408422,30204211.000"
fine,insert,100000,8,2,2000,0,62245216.000,8.559,"insert,100000,8,2000,0,1048576,124490432,62245216.000"
fine,insert,100000,12,2,2000,0,86318793.000,11.869,"insert,100000,12,2000,0,1048576,172637586,86318793.000"
fine,insert,100000,1,3,2000,0,6332400.000,1.000,"insert,100000,1,2000,0,1048576,12664800,6332400.000"
fine,insert,100000,2,3,2000,0,10666218.000,1.684,"insert,100000,2,2000,0,1048576,21332436,10666218.000"
fine,insert,100000,4,3,2000,0,28786003.000,4.546,"insert,100000,4,2000,0,1048576,57572006,28786003.000"
fine,insert,100000,8,3,2000,0,58385039.000,9.220,"insert,100000,8,2000,0,1048576,116770078,58385039.000"
fine,insert,100000,12,3,2000,0,69016531.500,10.899,"insert,100000,12,2000,0,1048576,138033063,69016531.500"
fine,mixed,100000,1,1,2000,1,5481520.500,1.000,"mixed,100000,1,2000,1,1048576,10963041,5481520.500"
fine,mixed,100000,2,1,2000,1,11129606.500,2.030,"mixed,100000,2,2000,1,1048576,22259213,11129606.500"
fine,mixed,100000,4,1,2000,1,30406816.500,5.547,"mixed,100000,4,2000,1,1048576,60813633,30406816.500"
fine,mixed,100000,8,1,2000,1,62288460.000,11.363,"mixed,100000,8,2000,1,1048576,124576920,62288460.000"
fine,mixed,100000,12,1,2000,1,78299731.000,14.284,"mixed,100000,12,2000,1,1048576,156599462,78299731.000"
fine,mixed,100000,1,2,2000,1,6832865.000,1.000,"mixed,100000,1,2000,1,1048576,13665730,6832865.000"
fine,mixed,100000,2,2,2000,1,12547899.000,1.836,"mixed,100000,2,2000,1,1048576,25095798,12547899.000"
fine,mixed,100000,4,2,2000,1,28168970.500,4.123,"mixed,100000,4,2000,1,1048576,56337941,28168970.500"
fine,mixed,100000,8,2,2000,1,61555785.000,9.009,"mixed,100000,8,2000,1,1048576,123111570,61555785.000"
fine,mixed,100000,12,2,2000,1,79506087.000,11.636,"mixed,100000,12,2000,1,1048576,159012174,79506087.000"
fine,mixed,100000,1,3,2000,1,6230681.000,1.000,"mixed,100000,1,2000,1,1048576,12461362,6230681.000"
fine,mixed,100000,2,3,2000,1,12659038.500,2.032,"mixed,100000,2,2000,1,1048576,25318077,12659038.500"
fine,mixed,100000,4,3,2000,1,24568831.000,3.943,"mixed,100000,4,2000,1,1048576,49137662,24568831.000"
fine,mixed,100000,8,3,2000,1,60569214.000,9.721,"mixed,100000,8,2000,1,1048576,121138428,60569214.000"
fine,mixed,100000,12,3,2000,1,73439180.500,11.787,"mixed,100000,12,2000,1,1048576,146878361,73439180.500"
